run_id,model,domain,task_type,difficulty,n,n_samples,n_needs_review,n_excluded_from_main,n_samples_unscored,n_items_unscored,mean_score,mean_score_incl_review,small_cell,ci_method,ci_low,ci_high,t2_judgment_accuracy,t2_verdict_ci_low,t2_verdict_ci_high,t4_pass_at_1,diagnostic_functional_threshold_rate,t4_performance_pass_rate,judge_mean_score_range,paper_eligible
midtier-20260828-v1,DeepSeek-V3,D3,T2,Intermediate,7,7,0,0,0,0,0.25,0.25,False,item-cluster bootstrap B=20000 seed=20260805,0.03571428571428571,0.5,0.7142857142857143,0.3589344518326274,0.9177810759959406,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D3,T3,Expert,8,8,0,0,0,0,0.5,0.5,False,item-cluster bootstrap B=20000 seed=20260805,0.4,0.6000000000000001,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D3,T3,Intermediate,6,6,0,0,0,0,0.6499999999999999,0.6499999999999999,False,item-cluster bootstrap B=20000 seed=20260805,0.5777777777777778,0.7222222222222222,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D3,T4,Basic,3,3,0,0,0,0,1.0,1.0,True,wilson,0.43850296824496815,1.0,,,,1.0,1.0,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D3,T4,Expert,1,1,0,0,0,0,1.0,1.0,True,none (n<2),,,,,,1.0,1.0,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D3,T4,Intermediate,3,3,0,0,0,0,0.6666666666666666,0.6666666666666666,True,wilson,0.2076596008020547,0.9385080552796013,,,,0.6666666666666666,0.6666666666666666,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D4,T1,Basic,9,9,0,0,0,0,1.0,1.0,False,wilson,0.7008549515804674,1.0,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D4,T1,Expert,6,6,0,0,0,0,1.0,1.0,False,wilson,0.6096657120978477,1.0,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D4,T1,Intermediate,18,18,0,0,0,0,1.0,1.0,False,wilson,0.8241207763533503,1.0,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D4,T2,Basic,3,3,0,0,0,0,0.3333333333333333,0.3333333333333333,True,"none (descriptive, n<5)",,,1.0,0.43850296824496815,1.0,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D4,T2,Expert,3,3,0,0,0,0,0.3333333333333333,0.3333333333333333,True,"none (descriptive, n<5)",,,0.6666666666666666,0.2076596008020547,0.9385080552796013,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D4,T2,Intermediate,5,5,0,0,0,0,0.475,0.475,False,item-cluster bootstrap B=20000 seed=20260805,0.375,0.625,1.0,0.5655175352168389,1.0,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D4,T3,Expert,3,3,0,0,0,0,0.6999999999999998,0.6999999999999998,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D4,T3,Intermediate,7,7,0,0,0,0,0.4142857142857143,0.4142857142857143,False,item-cluster bootstrap B=20000 seed=20260805,0.24285714285714283,0.5857142857142857,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D4,T4,Basic,4,4,0,0,0,0,1.0,1.0,True,wilson,0.5101091635454165,1.0,,,,1.0,1.0,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D4,T4,Expert,1,1,0,0,0,0,0.0,0.0,True,none (n<2),,,,,,0.0,0.0,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D4,T4,Intermediate,1,1,0,0,0,0,1.0,1.0,True,none (n<2),,,,,,1.0,1.0,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D5,T1,Basic,8,8,0,0,0,0,0.875,0.875,False,wilson,0.5291118177871563,0.9775825085499423,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D5,T1,Expert,10,10,0,0,0,0,0.9,0.9,False,wilson,0.5958499732047711,0.9821237869049262,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D5,T1,Intermediate,12,12,0,0,0,0,0.8333333333333334,0.8333333333333334,False,wilson,0.5519691377470349,0.9530348578161448,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D5,T2,Expert,2,2,0,0,0,0,0.5625,0.5625,True,"none (descriptive, n<5)",,,1.0,0.34238022750666547,1.0,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D5,T2,Intermediate,6,6,0,0,0,0,0.4166666666666667,0.4166666666666667,False,item-cluster bootstrap B=20000 seed=20260805,0.22916666666666666,0.5416666666666666,0.8333333333333334,0.43649717781353975,0.9699466302516921,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D5,T3,Expert,4,4,0,0,0,0,0.575,0.575,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D5,T3,Intermediate,4,4,0,0,0,0,0.85,0.85,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D5,T4,Basic,1,1,0,0,0,0,1.0,1.0,True,none (n<2),,,,,,1.0,1.0,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D5,T4,Intermediate,3,3,0,0,0,0,0.6666666666666666,0.6666666666666666,True,wilson,0.2076596008020547,0.9385080552796013,,,,0.6666666666666666,0.6666666666666666,1.0,,True
midtier-20260828-v1,DeepSeek-V3,D6,T1,Basic,8,8,0,0,0,0,1.0,1.0,False,wilson,0.6755924351161318,1.0,,,,,,,,True
